title,artist,year,popularity,tags,phrases,reason
Red Song,Mötley Crüe,1988,82,"hair metal,80s,glam","red,song,mötley crüe","Adjective+Type pattern: ""Red Song"""
Golden Song,Mötley Crüe,1989,86,"hair metal,80s,glam","golden,song,mötley crüe","Adjective+Type pattern: ""Golden Song"""
Silver Song,Mötley Crüe,1986,83,"hair metal,80s,glam","silver,song,mötley crüe","Adjective+Type pattern: ""Silver Song"""
Dark Song,Mötley Crüe,1988,84,"hair metal,80s,glam","dark,song,mötley crüe","Adjective+Type pattern: ""Dark Song"""
Bright Song,Mötley Crüe,1986,89,"hair metal,80s,glam","bright,song,mötley crüe","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Mötley Crüe,1989,85,"hair metal,80s,glam","sweet,song,mötley crüe","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Mötley Crüe,1987,90,"hair metal,80s,glam","wild,song,mötley crüe","Adjective+Type pattern: ""Wild Song"""
Free Song,Mötley Crüe,1989,78,"hair metal,80s,glam","free,song,mötley crüe","Adjective+Type pattern: ""Free Song"""
Lost Song,Mötley Crüe,1989,84,"hair metal,80s,glam","lost,song,mötley crüe","Exact match: ""Lost Song"""
Found Song,Mötley Crüe,1988,81,"hair metal,80s,glam","found,song,mötley crüe","Exact match: ""Found Song"""
True Song,Mötley Crüe,1985,87,"hair metal,80s,glam","true,song,mötley crüe","Exact match: ""True Song"""
Faded Song,Mötley Crüe,1988,88,"hair metal,80s,glam","faded,song,mötley crüe","Adjective+Type pattern: ""Faded Song"""
Shining Song,Mötley Crüe,1985,92,"hair metal,80s,glam","shining,song,mötley crüe","Adjective+Type pattern: ""Shining Song"""
Burning Song,Mötley Crüe,1988,91,"hair metal,80s,glam","burning,song,mötley crüe","Adjective+Type pattern: ""Burning Song"""
Blue Song,Poison,1985,78,"hair metal,80s","blue,song,poison","Adjective+Type pattern: ""Blue Song"""
Red Song,Poison,1987,78,"hair metal,80s","red,song,poison","Adjective+Type pattern: ""Red Song"""
Golden Song,Poison,1986,91,"hair metal,80s","golden,song,poison","Adjective+Type pattern: ""Golden Song"""
Silver Song,Poison,1986,89,"hair metal,80s","silver,song,poison","Adjective+Type pattern: ""Silver Song"""
Dark Song,Poison,1986,94,"hair metal,80s","dark,song,poison","Adjective+Type pattern: ""Dark Song"""
Bright Song,Poison,1986,78,"hair metal,80s","bright,song,poison","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Poison,1986,91,"hair metal,80s","sweet,song,poison","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Poison,1987,93,"hair metal,80s","wild,song,poison","Adjective+Type pattern: ""Wild Song"""
Free Song,Poison,1987,89,"hair metal,80s","free,song,poison","Adjective+Type pattern: ""Free Song"""
Lost Song,Poison,1988,92,"hair metal,80s","lost,song,poison","Exact match: ""Lost Song"""
Found Song,Poison,1987,82,"hair metal,80s","found,song,poison","Exact match: ""Found Song"""
True Song,Poison,1986,91,"hair metal,80s","true,song,poison","Exact match: ""True Song"""
Faded Song,Poison,1985,78,"hair metal,80s","faded,song,poison","Adjective+Type pattern: ""Faded Song"""
Shining Song,Poison,1987,81,"hair metal,80s","shining,song,poison","Adjective+Type pattern: ""Shining Song"""
Burning Song,Poison,1985,94,"hair metal,80s","burning,song,poison","Adjective+Type pattern: ""Burning Song"""
Blue Song,Run-DMC,1986,80,"hip hop,80s","blue,song,run-dmc","Adjective+Type pattern: ""Blue Song"""
Red Song,Run-DMC,1984,72,"hip hop,80s","red,song,run-dmc","Adjective+Type pattern: ""Red Song"""
Golden Song,Run-DMC,1981,79,"hip hop,80s","golden,song,run-dmc","Adjective+Type pattern: ""Golden Song"""
Silver Song,Run-DMC,1988,91,"hip hop,80s","silver,song,run-dmc","Adjective+Type pattern: ""Silver Song"""
Dark Song,Run-DMC,1983,90,"hip hop,80s","dark,song,run-dmc","Adjective+Type pattern: ""Dark Song"""
Bright Song,Run-DMC,1981,81,"hip hop,80s","bright,song,run-dmc","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Run-DMC,1989,90,"hip hop,80s","sweet,song,run-dmc","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Run-DMC,1983,72,"hip hop,80s","wild,song,run-dmc","Adjective+Type pattern: ""Wild Song"""
Free Song,Run-DMC,1980,76,"hip hop,80s","free,song,run-dmc","Adjective+Type pattern: ""Free Song"""
Lost Song,Run-DMC,1986,92,"hip hop,80s","lost,song,run-dmc","Exact match: ""Lost Song"""
Found Song,Run-DMC,1983,73,"hip hop,80s","found,song,run-dmc","Exact match: ""Found Song"""
True Song,Run-DMC,1988,92,"hip hop,80s","true,song,run-dmc","Exact match: ""True Song"""
Faded Song,Run-DMC,1989,72,"hip hop,80s","faded,song,run-dmc","Adjective+Type pattern: ""Faded Song"""
Shining Song,Run-DMC,1980,76,"hip hop,80s","shining,song,run-dmc","Adjective+Type pattern: ""Shining Song"""
Burning Song,Run-DMC,1989,74,"hip hop,80s","burning,song,run-dmc","Adjective+Type pattern: ""Burning Song"""
Blue Song,Public Enemy,1984,74,"hip hop,80s,political","blue,song,public enemy","Adjective+Type pattern: ""Blue Song"""
Red Song,Public Enemy,1987,91,"hip hop,80s,political","red,song,public enemy","Adjective+Type pattern: ""Red Song"""
Golden Song,Public Enemy,1981,85,"hip hop,80s,political","golden,song,public enemy","Adjective+Type pattern: ""Golden Song"""
Silver Song,Public Enemy,1988,76,"hip hop,80s,political","silver,song,public enemy","Adjective+Type pattern: ""Silver Song"""
Dark Song,Public Enemy,1986,75,"hip hop,80s,political","dark,song,public enemy","Adjective+Type pattern: ""Dark Song"""
Bright Song,Public Enemy,1980,74,"hip hop,80s,political","bright,song,public enemy","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Public Enemy,1989,73,"hip hop,80s,political","sweet,song,public enemy","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Public Enemy,1980,81,"hip hop,80s,political","wild,song,public enemy","Adjective+Type pattern: ""Wild Song"""
Free Song,Public Enemy,1983,78,"hip hop,80s,political","free,song,public enemy","Adjective+Type pattern: ""Free Song"""
Lost Song,Public Enemy,1982,73,"hip hop,80s,political","lost,song,public enemy","Exact match: ""Lost Song"""
Found Song,Public Enemy,1986,93,"hip hop,80s,political","found,song,public enemy","Exact match: ""Found Song"""
True Song,Public Enemy,1981,88,"hip hop,80s,political","true,song,public enemy","Exact match: ""True Song"""
Faded Song,Public Enemy,1986,74,"hip hop,80s,political","faded,song,public enemy","Adjective+Type pattern: ""Faded Song"""
Shining Song,Public Enemy,1982,83,"hip hop,80s,political","shining,song,public enemy","Adjective+Type pattern: ""Shining Song"""
Burning Song,Public Enemy,1984,89,"hip hop,80s,political","burning,song,public enemy","Adjective+Type pattern: ""Burning Song"""
Blue Song,LL Cool J,1985,85,"hip hop,80s","blue,song,ll cool j","Adjective+Type pattern: ""Blue Song"""
Red Song,LL Cool J,1989,82,"hip hop,80s","red,song,ll cool j","Adjective+Type pattern: ""Red Song"""
Golden Song,LL Cool J,1983,84,"hip hop,80s","golden,song,ll cool j","Adjective+Type pattern: ""Golden Song"""
Silver Song,LL Cool J,1984,82,"hip hop,80s","silver,song,ll cool j","Adjective+Type pattern: ""Silver Song"""
Dark Song,LL Cool J,1983,81,"hip hop,80s","dark,song,ll cool j","Adjective+Type pattern: ""Dark Song"""
Bright Song,LL Cool J,1987,92,"hip hop,80s","bright,song,ll cool j","Adjective+Type pattern: ""Bright Song"""
Sweet Song,LL Cool J,1984,72,"hip hop,80s","sweet,song,ll cool j","Adjective+Type pattern: ""Sweet Song"""
Wild Song,LL Cool J,1985,71,"hip hop,80s","wild,song,ll cool j","Adjective+Type pattern: ""Wild Song"""
Free Song,LL Cool J,1984,75,"hip hop,80s","free,song,ll cool j","Adjective+Type pattern: ""Free Song"""
Lost Song,LL Cool J,1989,90,"hip hop,80s","lost,song,ll cool j","Exact match: ""Lost Song"""
Found Song,LL Cool J,1981,87,"hip hop,80s","found,song,ll cool j","Exact match: ""Found Song"""
True Song,LL Cool J,1988,78,"hip hop,80s","true,song,ll cool j","Exact match: ""True Song"""
Faded Song,LL Cool J,1989,79,"hip hop,80s","faded,song,ll cool j","Adjective+Type pattern: ""Faded Song"""
Shining Song,LL Cool J,1986,76,"hip hop,80s","shining,song,ll cool j","Adjective+Type pattern: ""Shining Song"""
Burning Song,LL Cool J,1989,76,"hip hop,80s","burning,song,ll cool j","Adjective+Type pattern: ""Burning Song"""
Blue Song,Beastie Boys,1982,70,"hip hop,rock,80s","blue,song,beastie boys","Adjective+Type pattern: ""Blue Song"""
Red Song,Beastie Boys,1981,72,"hip hop,rock,80s","red,song,beastie boys","Adjective+Type pattern: ""Red Song"""
Golden Song,Beastie Boys,1987,89,"hip hop,rock,80s","golden,song,beastie boys","Adjective+Type pattern: ""Golden Song"""
Silver Song,Beastie Boys,1987,87,"hip hop,rock,80s","silver,song,beastie boys","Adjective+Type pattern: ""Silver Song"""
Dark Song,Beastie Boys,1986,70,"hip hop,rock,80s","dark,song,beastie boys","Adjective+Type pattern: ""Dark Song"""
Bright Song,Beastie Boys,1980,72,"hip hop,rock,80s","bright,song,beastie boys","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Beastie Boys,1984,83,"hip hop,rock,80s","sweet,song,beastie boys","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Beastie Boys,1982,89,"hip hop,rock,80s","wild,song,beastie boys","Adjective+Type pattern: ""Wild Song"""
Free Song,Beastie Boys,1981,90,"hip hop,rock,80s","free,song,beastie boys","Adjective+Type pattern: ""Free Song"""
Lost Song,Beastie Boys,1989,70,"hip hop,rock,80s","lost,song,beastie boys","Exact match: ""Lost Song"""
Blue Song,Nirvana,1994,93,"grunge,alternative,90s","blue,song,nirvana","Adjective+Type pattern: ""Blue Song"""
Red Song,Nirvana,1994,86,"grunge,alternative,90s","red,song,nirvana","Adjective+Type pattern: ""Red Song"""
Golden Song,Nirvana,1999,91,"grunge,alternative,90s","golden,song,nirvana","Adjective+Type pattern: ""Golden Song"""
Silver Song,Nirvana,1996,90,"grunge,alternative,90s","silver,song,nirvana","Adjective+Type pattern: ""Silver Song"""
Dark Song,Nirvana,1997,97,"grunge,alternative,90s","dark,song,nirvana","Adjective+Type pattern: ""Dark Song"""
Bright Song,Nirvana,1999,86,"grunge,alternative,90s","bright,song,nirvana","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Nirvana,1997,80,"grunge,alternative,90s","sweet,song,nirvana","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Nirvana,1998,90,"grunge,alternative,90s","wild,song,nirvana","Adjective+Type pattern: ""Wild Song"""
Free Song,Nirvana,1991,93,"grunge,alternative,90s","free,song,nirvana","Adjective+Type pattern: ""Free Song"""
Lost Song,Nirvana,1997,96,"grunge,alternative,90s","lost,song,nirvana","Exact match: ""Lost Song"""
Found Song,Nirvana,1996,87,"grunge,alternative,90s","found,song,nirvana","Exact match: ""Found Song"""
True Song,Nirvana,1994,90,"grunge,alternative,90s","true,song,nirvana","Exact match: ""True Song"""
Faded Song,Nirvana,1994,91,"grunge,alternative,90s","faded,song,nirvana","Adjective+Type pattern: ""Faded Song"""
Shining Song,Nirvana,1994,89,"grunge,alternative,90s","shining,song,nirvana","Adjective+Type pattern: ""Shining Song"""
Burning Song,Nirvana,1991,86,"grunge,alternative,90s","burning,song,nirvana","Adjective+Type pattern: ""Burning Song"""
Rising Song,Nirvana,1992,81,"grunge,alternative,90s","rising,song,nirvana","Adjective+Type pattern: ""Rising Song"""
Blue Track,Nirvana,1994,82,"grunge,alternative,90s","blue,track,nirvana","Adjective+Type pattern: ""Blue Track"""
Red Track,Nirvana,1999,85,"grunge,alternative,90s","red,track,nirvana","Adjective+Type pattern: ""Red Track"""
Golden Track,Nirvana,1994,93,"grunge,alternative,90s","golden,track,nirvana","Adjective+Type pattern: ""Golden Track"""
Silver Track,Nirvana,1999,97,"grunge,alternative,90s","silver,track,nirvana","Adjective+Type pattern: ""Silver Track"""
Dark Track,Nirvana,1995,92,"grunge,alternative,90s","dark,track,nirvana","Adjective+Type pattern: ""Dark Track"""
Bright Track,Nirvana,1992,87,"grunge,alternative,90s","bright,track,nirvana","Adjective+Type pattern: ""Bright Track"""
Sweet Track,Nirvana,1996,92,"grunge,alternative,90s","sweet,track,nirvana","Adjective+Type pattern: ""Sweet Track"""
Wild Track,Nirvana,1995,91,"grunge,alternative,90s","wild,track,nirvana","Adjective+Type pattern: ""Wild Track"""
Free Track,Nirvana,1999,80,"grunge,alternative,90s","free,track,nirvana","Adjective+Type pattern: ""Free Track"""
Blue Song,Pearl Jam,1999,97,"grunge,rock,90s","blue,song,pearl jam","Adjective+Type pattern: ""Blue Song"""
Red Song,Pearl Jam,1996,95,"grunge,rock,90s","red,song,pearl jam","Adjective+Type pattern: ""Red Song"""
Golden Song,Pearl Jam,1994,80,"grunge,rock,90s","golden,song,pearl jam","Adjective+Type pattern: ""Golden Song"""
Silver Song,Pearl Jam,1992,85,"grunge,rock,90s","silver,song,pearl jam","Adjective+Type pattern: ""Silver Song"""
Dark Song,Pearl Jam,1997,90,"grunge,rock,90s","dark,song,pearl jam","Adjective+Type pattern: ""Dark Song"""
Bright Song,Pearl Jam,1991,84,"grunge,rock,90s","bright,song,pearl jam","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Pearl Jam,1994,83,"grunge,rock,90s","sweet,song,pearl jam","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Pearl Jam,1996,88,"grunge,rock,90s","wild,song,pearl jam","Adjective+Type pattern: ""Wild Song"""
Free Song,Pearl Jam,1992,91,"grunge,rock,90s","free,song,pearl jam","Adjective+Type pattern: ""Free Song"""
Lost Song,Pearl Jam,1999,82,"grunge,rock,90s","lost,song,pearl jam","Exact match: ""Lost Song"""
Found Song,Pearl Jam,1994,95,"grunge,rock,90s","found,song,pearl jam","Exact match: ""Found Song"""
True Song,Pearl Jam,1999,81,"grunge,rock,90s","true,song,pearl jam","Exact match: ""True Song"""
Faded Song,Pearl Jam,1991,91,"grunge,rock,90s","faded,song,pearl jam","Adjective+Type pattern: ""Faded Song"""
Shining Song,Pearl Jam,1996,92,"grunge,rock,90s","shining,song,pearl jam","Adjective+Type pattern: ""Shining Song"""
Burning Song,Pearl Jam,1991,92,"grunge,rock,90s","burning,song,pearl jam","Adjective+Type pattern: ""Burning Song"""
Rising Song,Pearl Jam,1997,88,"grunge,rock,90s","rising,song,pearl jam","Adjective+Type pattern: ""Rising Song"""
Blue Track,Pearl Jam,1995,93,"grunge,rock,90s","blue,track,pearl jam","Adjective+Type pattern: ""Blue Track"""
Red Track,Pearl Jam,1992,85,"grunge,rock,90s","red,track,pearl jam","Adjective+Type pattern: ""Red Track"""
Golden Track,Pearl Jam,1997,90,"grunge,rock,90s","golden,track,pearl jam","Adjective+Type pattern: ""Golden Track"""
Silver Track,Pearl Jam,1992,90,"grunge,rock,90s","silver,track,pearl jam","Adjective+Type pattern: ""Silver Track"""
Dark Track,Pearl Jam,1996,94,"grunge,rock,90s","dark,track,pearl jam","Adjective+Type pattern: ""Dark Track"""
Bright Track,Pearl Jam,1992,92,"grunge,rock,90s","bright,track,pearl jam","Adjective+Type pattern: ""Bright Track"""
Sweet Track,Pearl Jam,1996,82,"grunge,rock,90s","sweet,track,pearl jam","Adjective+Type pattern: ""Sweet Track"""
Wild Track,Pearl Jam,1992,82,"grunge,rock,90s","wild,track,pearl jam","Adjective+Type pattern: ""Wild Track"""
Free Track,Pearl Jam,1999,89,"grunge,rock,90s","free,track,pearl jam","Adjective+Type pattern: ""Free Track"""
Blue Song,Soundgarden,1999,87,"grunge,90s,metal","blue,song,soundgarden","Adjective+Type pattern: ""Blue Song"""
Red Song,Soundgarden,1995,96,"grunge,90s,metal","red,song,soundgarden","Adjective+Type pattern: ""Red Song"""
Golden Song,Soundgarden,1994,92,"grunge,90s,metal","golden,song,soundgarden","Adjective+Type pattern: ""Golden Song"""
Silver Song,Soundgarden,1991,97,"grunge,90s,metal","silver,song,soundgarden","Adjective+Type pattern: ""Silver Song"""
Dark Song,Soundgarden,1997,94,"grunge,90s,metal","dark,song,soundgarden","Adjective+Type pattern: ""Dark Song"""
Bright Song,Soundgarden,1993,90,"grunge,90s,metal","bright,song,soundgarden","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Soundgarden,1994,85,"grunge,90s,metal","sweet,song,soundgarden","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Soundgarden,1998,93,"grunge,90s,metal","wild,song,soundgarden","Adjective+Type pattern: ""Wild Song"""
Free Song,Soundgarden,1993,89,"grunge,90s,metal","free,song,soundgarden","Adjective+Type pattern: ""Free Song"""
Lost Song,Soundgarden,1997,84,"grunge,90s,metal","lost,song,soundgarden","Exact match: ""Lost Song"""
Found Song,Soundgarden,1993,94,"grunge,90s,metal","found,song,soundgarden","Exact match: ""Found Song"""
True Song,Soundgarden,1991,97,"grunge,90s,metal","true,song,soundgarden","Exact match: ""True Song"""
Faded Song,Soundgarden,1998,87,"grunge,90s,metal","faded,song,soundgarden","Adjective+Type pattern: ""Faded Song"""
Shining Song,Soundgarden,1992,81,"grunge,90s,metal","shining,song,soundgarden","Adjective+Type pattern: ""Shining Song"""
Burning Song,Soundgarden,1996,94,"grunge,90s,metal","burning,song,soundgarden","Adjective+Type pattern: ""Burning Song"""
Rising Song,Soundgarden,1992,87,"grunge,90s,metal","rising,song,soundgarden","Adjective+Type pattern: ""Rising Song"""
Blue Track,Soundgarden,1997,93,"grunge,90s,metal","blue,track,soundgarden","Adjective+Type pattern: ""Blue Track"""
Red Track,Soundgarden,1996,88,"grunge,90s,metal","red,track,soundgarden","Adjective+Type pattern: ""Red Track"""
Golden Track,Soundgarden,1994,83,"grunge,90s,metal","golden,track,soundgarden","Adjective+Type pattern: ""Golden Track"""
Silver Track,Soundgarden,1993,83,"grunge,90s,metal","silver,track,soundgarden","Adjective+Type pattern: ""Silver Track"""
Dark Track,Soundgarden,1995,83,"grunge,90s,metal","dark,track,soundgarden","Adjective+Type pattern: ""Dark Track"""
Bright Track,Soundgarden,1997,82,"grunge,90s,metal","bright,track,soundgarden","Adjective+Type pattern: ""Bright Track"""
Sweet Track,Soundgarden,1996,88,"grunge,90s,metal","sweet,track,soundgarden","Adjective+Type pattern: ""Sweet Track"""
Wild Track,Soundgarden,1996,80,"grunge,90s,metal","wild,track,soundgarden","Adjective+Type pattern: ""Wild Track"""
Free Track,Soundgarden,1996,97,"grunge,90s,metal","free,track,soundgarden","Adjective+Type pattern: ""Free Track"""
Blue Song,Alice in Chains,1994,94,"grunge,90s,dark","blue,song,alice in chains","Adjective+Type pattern: ""Blue Song"""
Red Song,Alice in Chains,1996,90,"grunge,90s,dark","red,song,alice in chains","Adjective+Type pattern: ""Red Song"""
Golden Song,Alice in Chains,1992,92,"grunge,90s,dark","golden,song,alice in chains","Adjective+Type pattern: ""Golden Song"""
Silver Song,Alice in Chains,1991,81,"grunge,90s,dark","silver,song,alice in chains","Adjective+Type pattern: ""Silver Song"""
Dark Song,Alice in Chains,1996,86,"grunge,90s,dark","dark,song,alice in chains","Adjective+Type pattern: ""Dark Song"""
Bright Song,Alice in Chains,1994,86,"grunge,90s,dark","bright,song,alice in chains","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Alice in Chains,1992,92,"grunge,90s,dark","sweet,song,alice in chains","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Alice in Chains,1996,96,"grunge,90s,dark","wild,song,alice in chains","Adjective+Type pattern: ""Wild Song"""
Free Song,Alice in Chains,1999,89,"grunge,90s,dark","free,song,alice in chains","Adjective+Type pattern: ""Free Song"""
Lost Song,Alice in Chains,1996,90,"grunge,90s,dark","lost,song,alice in chains","Exact match: ""Lost Song"""
Found Song,Alice in Chains,1995,86,"grunge,90s,dark","found,song,alice in chains","Exact match: ""Found Song"""
True Song,Alice in Chains,1996,82,"grunge,90s,dark","true,song,alice in chains","Exact match: ""True Song"""
Faded Song,Alice in Chains,1994,85,"grunge,90s,dark","faded,song,alice in chains","Adjective+Type pattern: ""Faded Song"""
Shining Song,Alice in Chains,1991,91,"grunge,90s,dark","shining,song,alice in chains","Adjective+Type pattern: ""Shining Song"""
Burning Song,Alice in Chains,1992,84,"grunge,90s,dark","burning,song,alice in chains","Adjective+Type pattern: ""Burning Song"""
Rising Song,Alice in Chains,1995,92,"grunge,90s,dark","rising,song,alice in chains","Adjective+Type pattern: ""Rising Song"""
Blue Track,Alice in Chains,1994,96,"grunge,90s,dark","blue,track,alice in chains","Adjective+Type pattern: ""Blue Track"""
Red Track,Alice in Chains,1992,97,"grunge,90s,dark","red,track,alice in chains","Adjective+Type pattern: ""Red Track"""
Golden Track,Alice in Chains,1997,93,"grunge,90s,dark","golden,track,alice in chains","Adjective+Type pattern: ""Golden Track"""
Silver Track,Alice in Chains,1992,82,"grunge,90s,dark","silver,track,alice in chains","Adjective+Type pattern: ""Silver Track"""
Dark Track,Alice in Chains,1999,85,"grunge,90s,dark","dark,track,alice in chains","Adjective+Type pattern: ""Dark Track"""
Bright Track,Alice in Chains,1995,95,"grunge,90s,dark","bright,track,alice in chains","Adjective+Type pattern: ""Bright Track"""
Sweet Track,Alice in Chains,1993,82,"grunge,90s,dark","sweet,track,alice in chains","Adjective+Type pattern: ""Sweet Track"""
Wild Track,Alice in Chains,1998,94,"grunge,90s,dark","wild,track,alice in chains","Adjective+Type pattern: ""Wild Track"""
Free Track,Alice in Chains,1998,81,"grunge,90s,dark","free,track,alice in chains","Adjective+Type pattern: ""Free Track"""
Blue Song,Stone Temple Pilots,1995,94,"grunge,alternative,90s","blue,song,stone temple pilots","Adjective+Type pattern: ""Blue Song"""
Red Song,Stone Temple Pilots,1993,97,"grunge,alternative,90s","red,song,stone temple pilots","Adjective+Type pattern: ""Red Song"""
Golden Song,Stone Temple Pilots,1993,93,"grunge,alternative,90s","golden,song,stone temple pilots","Adjective+Type pattern: ""Golden Song"""
Silver Song,Stone Temple Pilots,1995,87,"grunge,alternative,90s","silver,song,stone temple pilots","Adjective+Type pattern: ""Silver Song"""
Dark Song,Stone Temple Pilots,1998,91,"grunge,alternative,90s","dark,song,stone temple pilots","Adjective+Type pattern: ""Dark Song"""
Bright Song,Stone Temple Pilots,1998,89,"grunge,alternative,90s","bright,song,stone temple pilots","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Stone Temple Pilots,1993,84,"grunge,alternative,90s","sweet,song,stone temple pilots","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Stone Temple Pilots,1994,90,"grunge,alternative,90s","wild,song,stone temple pilots","Adjective+Type pattern: ""Wild Song"""
Free Song,Stone Temple Pilots,1992,80,"grunge,alternative,90s","free,song,stone temple pilots","Adjective+Type pattern: ""Free Song"""
Lost Song,Stone Temple Pilots,1993,96,"grunge,alternative,90s","lost,song,stone temple pilots","Exact match: ""Lost Song"""
Found Song,Stone Temple Pilots,1996,97,"grunge,alternative,90s","found,song,stone temple pilots","Exact match: ""Found Song"""
True Song,Stone Temple Pilots,1993,81,"grunge,alternative,90s","true,song,stone temple pilots","Exact match: ""True Song"""
Faded Song,Stone Temple Pilots,1998,82,"grunge,alternative,90s","faded,song,stone temple pilots","Adjective+Type pattern: ""Faded Song"""
Shining Song,Stone Temple Pilots,1993,88,"grunge,alternative,90s","shining,song,stone temple pilots","Adjective+Type pattern: ""Shining Song"""
Burning Song,Stone Temple Pilots,1992,80,"grunge,alternative,90s","burning,song,stone temple pilots","Adjective+Type pattern: ""Burning Song"""
Rising Song,Stone Temple Pilots,1992,92,"grunge,alternative,90s","rising,song,stone temple pilots","Adjective+Type pattern: ""Rising Song"""
Blue Track,Stone Temple Pilots,1997,84,"grunge,alternative,90s","blue,track,stone temple pilots","Adjective+Type pattern: ""Blue Track"""
Red Track,Stone Temple Pilots,1995,83,"grunge,alternative,90s","red,track,stone temple pilots","Adjective+Type pattern: ""Red Track"""
Golden Track,Stone Temple Pilots,1993,90,"grunge,alternative,90s","golden,track,stone temple pilots","Adjective+Type pattern: ""Golden Track"""
Silver Track,Stone Temple Pilots,1995,81,"grunge,alternative,90s","silver,track,stone temple pilots","Adjective+Type pattern: ""Silver Track"""
Dark Track,Stone Temple Pilots,1991,89,"grunge,alternative,90s","dark,track,stone temple pilots","Adjective+Type pattern: ""Dark Track"""
Bright Track,Stone Temple Pilots,1993,86,"grunge,alternative,90s","bright,track,stone temple pilots","Adjective+Type pattern: ""Bright Track"""
Sweet Track,Stone Temple Pilots,1994,83,"grunge,alternative,90s","sweet,track,stone temple pilots","Adjective+Type pattern: ""Sweet Track"""
Wild Track,Stone Temple Pilots,1998,91,"grunge,alternative,90s","wild,track,stone temple pilots","Adjective+Type pattern: ""Wild Track"""
Free Track,Stone Temple Pilots,1996,80,"grunge,alternative,90s","free,track,stone temple pilots","Adjective+Type pattern: ""Free Track"""
Blue Song,Smashing Pumpkins,1998,97,"alternative,90s","blue,song,smashing pumpkins","Adjective+Type pattern: ""Blue Song"""
Red Song,Smashing Pumpkins,1996,86,"alternative,90s","red,song,smashing pumpkins","Adjective+Type pattern: ""Red Song"""
Golden Song,Smashing Pumpkins,1998,85,"alternative,90s","golden,song,smashing pumpkins","Adjective+Type pattern: ""Golden Song"""
Silver Song,Smashing Pumpkins,1994,97,"alternative,90s","silver,song,smashing pumpkins","Adjective+Type pattern: ""Silver Song"""
Dark Song,Smashing Pumpkins,1993,81,"alternative,90s","dark,song,smashing pumpkins","Adjective+Type pattern: ""Dark Song"""
Bright Song,Smashing Pumpkins,1998,92,"alternative,90s","bright,song,smashing pumpkins","Adjective+Type pattern: ""Bright Song"""
Sweet Song,Smashing Pumpkins,1997,87,"alternative,90s","sweet,song,smashing pumpkins","Adjective+Type pattern: ""Sweet Song"""
Wild Song,Smashing Pumpkins,1992,80,"alternative,90s","wild,song,smashing pumpkins","Adjective+Type pattern: ""Wild Song"""
Free Song,Smashing Pumpkins,1994,80,"alternative,90s","free,song,smashing pumpkins","Adjective+Type pattern: ""Free Song"""
Lost Song,Smashing Pumpkins,1998,86,"alternative,90s","lost,song,smashing pumpkins","Exact match: ""Lost Song"""
Found Song,Smashing Pumpkins,1998,88,"alternative,90s","found,song,smashing pumpkins","Exact match: ""Found Song"""
True Song,Smashing Pumpkins,1998,87,"alternative,90s","true,song,smashing pumpkins","Exact match: ""True Song"""
Faded Song,Smashing Pumpkins,1996,92,"alternative,90s","faded,song,smashing pumpkins","Adjective+Type pattern: ""Faded Song"""
Shining Song,Smashing Pumpkins,1998,90,"alternative,90s","shining,song,smashing pumpkins","Adjective+Type pattern: ""Shining Song"""
Burning Song,Smashing Pumpkins,1991,80,"alternative,90s","burning,song,smashing pumpkins","Adjective+Type pattern: ""Burning Song"""
Rising Song,Smashing Pumpkins,1999,85,"alternative,90s","rising,song,smashing pumpkins","Adjective+Type pattern: ""Rising Song"""
Blue Track,Smashing Pumpkins,1999,82,"alternative,90s","blue,track,smashing pumpkins","Adjective+Type pattern: ""Blue Track"""
Red Track,Smashing Pumpkins,1995,84,"alternative,90s","red,track,smashing pumpkins","Adjective+Type pattern: ""Red Track"""
Golden Track,Smashing Pumpkins,1999,82,"alternative,90s","golden,track,smashing pumpkins","Adjective+Type pattern: ""Golden Track"""
Silver Track,Smashing Pumpkins,1991,96,"alternative,90s","silver,track,smashing pumpkins","Adjective+Type pattern: ""Silver Track"""
Blue Song,Radiohead,1994,76,"alternative,90s,experimental","blue,song,radiohead","Adjective+Type pattern: ""Blue Song"""
Red Song,Radiohead,1992,83,"alternative,90s,experimental","red,song,radiohead","Adjective+Type pattern: ""Red Song"""
Golden Song,Radiohead,1994,87,"alternative,90s,experimental","golden,song,radiohead","Adjective+Type pattern: ""Golden Song"""
