title,artist,year,popularity,tags,phrases
Sweet Song,Beastie Boys,1984,83,"hip hop,rock,80s","sweet,song,beastie boys"
Wild Song,Beastie Boys,1982,89,"hip hop,rock,80s","wild,song,beastie boys"
Free Song,Beastie Boys,1981,90,"hip hop,rock,80s","free,song,beastie boys"
Lost Song,Beastie Boys,1989,70,"hip hop,rock,80s","lost,song,beastie boys"
Smells Like Teen Spirit,Nirvana,1998,80,"grunge,90s,alternative","teen spirit,hello,mosquito,libido"
Come as You Are,Nirvana,1995,87,"grunge,90s","come as you are,friend,enemy"
Lithium,Nirvana,1998,91,"grunge,90s","lithium,happy,sad,light"
In Bloom,Nirvana,1993,93,"grunge,90s","in bloom,sell kids guns,nature"
Heart-Shaped Box,Nirvana,1994,86,"grunge,90s","heart shaped box,umbilical noose"
Alive,Pearl Jam,1997,84,"grunge,90s,rock","alive,still alive,daughter"
Black,Pearl Jam,1996,84,"grunge,90s,ballad","black,sheets of empty canvas,bitter hands"
Even Flow,Pearl Jam,1998,89,"grunge,90s","even flow,rests his head,pillow made concrete"
Jeremy,Pearl Jam,1994,93,"grunge,90s,dark","jeremy,spoke,class today"
Better Man,Pearl Jam,1993,89,"grunge,90s,emotional","better man,can't find,waits for him"
Blue Song,Nirvana,1994,93,"grunge,alternative,90s","blue,song,nirvana"
Red Song,Nirvana,1994,86,"grunge,alternative,90s","red,song,nirvana"
Golden Song,Nirvana,1999,91,"grunge,alternative,90s","golden,song,nirvana"
Silver Song,Nirvana,1996,90,"grunge,alternative,90s","silver,song,nirvana"
Dark Song,Nirvana,1997,97,"grunge,alternative,90s","dark,song,nirvana"
Bright Song,Nirvana,1999,86,"grunge,alternative,90s","bright,song,nirvana"
Sweet Song,Nirvana,1997,80,"grunge,alternative,90s","sweet,song,nirvana"
Wild Song,Nirvana,1998,90,"grunge,alternative,90s","wild,song,nirvana"
Free Song,Nirvana,1991,93,"grunge,alternative,90s","free,song,nirvana"
Lost Song,Nirvana,1997,96,"grunge,alternative,90s","lost,song,nirvana"
Found Song,Nirvana,1996,87,"grunge,alternative,90s","found,song,nirvana"
True Song,Nirvana,1994,90,"grunge,alternative,90s","true,song,nirvana"
Faded Song,Nirvana,1994,91,"grunge,alternative,90s","faded,song,nirvana"
Shining Song,Nirvana,1994,89,"grunge,alternative,90s","shining,song,nirvana"
Burning Song,Nirvana,1991,86,"grunge,alternative,90s","burning,song,nirvana"
Rising Song,Nirvana,1992,81,"grunge,alternative,90s","rising,song,nirvana"
Blue Track,Nirvana,1994,82,"grunge,alternative,90s","blue,track,nirvana"
Red Track,Nirvana,1999,85,"grunge,alternative,90s","red,track,nirvana"
Golden Track,Nirvana,1994,93,"grunge,alternative,90s","golden,track,nirvana"
Silver Track,Nirvana,1999,97,"grunge,alternative,90s","silver,track,nirvana"
Dark Track,Nirvana,1995,92,"grunge,alternative,90s","dark,track,nirvana"
Bright Track,Nirvana,1992,87,"grunge,alternative,90s","bright,track,nirvana"
Sweet Track,Nirvana,1996,92,"grunge,alternative,90s","sweet,track,nirvana"
Wild Track,Nirvana,1995,91,"grunge,alternative,90s","wild,track,nirvana"
Free Track,Nirvana,1999,80,"grunge,alternative,90s","free,track,nirvana"
Blue Song,Pearl Jam,1999,97,"grunge,rock,90s","blue,song,pearl jam"
Red Song,Pearl Jam,1996,95,"grunge,rock,90s","red,song,pearl jam"
Golden Song,Pearl Jam,1994,80,"grunge,rock,90s","golden,song,pearl jam"
Silver Song,Pearl Jam,1992,85,"grunge,rock,90s","silver,song,pearl jam"
Dark Song,Pearl Jam,1997,90,"grunge,rock,90s","dark,song,pearl jam"
Bright Song,Pearl Jam,1991,84,"grunge,rock,90s","bright,song,pearl jam"
Sweet Song,Pearl Jam,1994,83,"grunge,rock,90s","sweet,song,pearl jam"
Wild Song,Pearl Jam,1996,88,"grunge,rock,90s","wild,song,pearl jam"
Free Song,Pearl Jam,1992,91,"grunge,rock,90s","free,song,pearl jam"
Lost Song,Pearl Jam,1999,82,"grunge,rock,90s","lost,song,pearl jam"
Found Song,Pearl Jam,1994,95,"grunge,rock,90s","found,song,pearl jam"
True Song,Pearl Jam,1999,81,"grunge,rock,90s","true,song,pearl jam"
Faded Song,Pearl Jam,1991,91,"grunge,rock,90s","faded,song,pearl jam"
Shining Song,Pearl Jam,1996,92,"grunge,rock,90s","shining,song,pearl jam"
Burning Song,Pearl Jam,1991,92,"grunge,rock,90s","burning,song,pearl jam"
Rising Song,Pearl Jam,1997,88,"grunge,rock,90s","rising,song,pearl jam"
Blue Track,Pearl Jam,1995,93,"grunge,rock,90s","blue,track,pearl jam"
Red Track,Pearl Jam,1992,85,"grunge,rock,90s","red,track,pearl jam"
Golden Track,Pearl Jam,1997,90,"grunge,rock,90s","golden,track,pearl jam"
Silver Track,Pearl Jam,1992,90,"grunge,rock,90s","silver,track,pearl jam"
Dark Track,Pearl Jam,1996,94,"grunge,rock,90s","dark,track,pearl jam"
Bright Track,Pearl Jam,1992,92,"grunge,rock,90s","bright,track,pearl jam"
Sweet Track,Pearl Jam,1996,82,"grunge,rock,90s","sweet,track,pearl jam"
Wild Track,Pearl Jam,1992,82,"grunge,rock,90s","wild,track,pearl jam"
Free Track,Pearl Jam,1999,89,"grunge,rock,90s","free,track,pearl jam"
Blue Song,Soundgarden,1999,87,"grunge,90s,metal","blue,song,soundgarden"
Red Song,Soundgarden,1995,96,"grunge,90s,metal","red,song,soundgarden"
Golden Song,Soundgarden,1994,92,"grunge,90s,metal","golden,song,soundgarden"
Silver Song,Soundgarden,1991,97,"grunge,90s,metal","silver,song,soundgarden"
Dark Song,Soundgarden,1997,94,"grunge,90s,metal","dark,song,soundgarden"
Bright Song,Soundgarden,1993,90,"grunge,90s,metal","bright,song,soundgarden"
Sweet Song,Soundgarden,1994,85,"grunge,90s,metal","sweet,song,soundgarden"
Wild Song,Soundgarden,1998,93,"grunge,90s,metal","wild,song,soundgarden"
Free Song,Soundgarden,1993,89,"grunge,90s,metal","free,song,soundgarden"
Lost Song,Soundgarden,1997,84,"grunge,90s,metal","lost,song,soundgarden"
Found Song,Soundgarden,1993,94,"grunge,90s,metal","found,song,soundgarden"
True Song,Soundgarden,1991,97,"grunge,90s,metal","true,song,soundgarden"
Faded Song,Soundgarden,1998,87,"grunge,90s,metal","faded,song,soundgarden"
Shining Song,Soundgarden,1992,81,"grunge,90s,metal","shining,song,soundgarden"
Burning Song,Soundgarden,1996,94,"grunge,90s,metal","burning,song,soundgarden"
Rising Song,Soundgarden,1992,87,"grunge,90s,metal","rising,song,soundgarden"
Blue Track,Soundgarden,1997,93,"grunge,90s,metal","blue,track,soundgarden"
Red Track,Soundgarden,1996,88,"grunge,90s,metal","red,track,soundgarden"
Golden Track,Soundgarden,1994,83,"grunge,90s,metal","golden,track,soundgarden"
Silver Track,Soundgarden,1993,83,"grunge,90s,metal","silver,track,soundgarden"
Dark Track,Soundgarden,1995,83,"grunge,90s,metal","dark,track,soundgarden"
Bright Track,Soundgarden,1997,82,"grunge,90s,metal","bright,track,soundgarden"
Sweet Track,Soundgarden,1996,88,"grunge,90s,metal","sweet,track,soundgarden"
Wild Track,Soundgarden,1996,80,"grunge,90s,metal","wild,track,soundgarden"
Free Track,Soundgarden,1996,97,"grunge,90s,metal","free,track,soundgarden"
Blue Song,Alice in Chains,1994,94,"grunge,90s,dark","blue,song,alice in chains"
Red Song,Alice in Chains,1996,90,"grunge,90s,dark","red,song,alice in chains"
Golden Song,Alice in Chains,1992,92,"grunge,90s,dark","golden,song,alice in chains"
Silver Song,Alice in Chains,1991,81,"grunge,90s,dark","silver,song,alice in chains"
Dark Song,Alice in Chains,1996,86,"grunge,90s,dark","dark,song,alice in chains"
Bright Song,Alice in Chains,1994,86,"grunge,90s,dark","bright,song,alice in chains"
Sweet Song,Alice in Chains,1992,92,"grunge,90s,dark","sweet,song,alice in chains"
Wild Song,Alice in Chains,1996,96,"grunge,90s,dark","wild,song,alice in chains"
Free Song,Alice in Chains,1999,89,"grunge,90s,dark","free,song,alice in chains"
Lost Song,Alice in Chains,1996,90,"grunge,90s,dark","lost,song,alice in chains"
Found Song,Alice in Chains,1995,86,"grunge,90s,dark","found,song,alice in chains"
True Song,Alice in Chains,1996,82,"grunge,90s,dark","true,song,alice in chains"
Faded Song,Alice in Chains,1994,85,"grunge,90s,dark","faded,song,alice in chains"
Shining Song,Alice in Chains,1991,91,"grunge,90s,dark","shining,song,alice in chains"
Burning Song,Alice in Chains,1992,84,"grunge,90s,dark","burning,song,alice in chains"
Rising Song,Alice in Chains,1995,92,"grunge,90s,dark","rising,song,alice in chains"
Blue Track,Alice in Chains,1994,96,"grunge,90s,dark","blue,track,alice in chains"
Red Track,Alice in Chains,1992,97,"grunge,90s,dark","red,track,alice in chains"
Golden Track,Alice in Chains,1997,93,"grunge,90s,dark","golden,track,alice in chains"
Silver Track,Alice in Chains,1992,82,"grunge,90s,dark","silver,track,alice in chains"
Dark Track,Alice in Chains,1999,85,"grunge,90s,dark","dark,track,alice in chains"
Bright Track,Alice in Chains,1995,95,"grunge,90s,dark","bright,track,alice in chains"
Sweet Track,Alice in Chains,1993,82,"grunge,90s,dark","sweet,track,alice in chains"
Wild Track,Alice in Chains,1998,94,"grunge,90s,dark","wild,track,alice in chains"
Free Track,Alice in Chains,1998,81,"grunge,90s,dark","free,track,alice in chains"
Blue Song,Stone Temple Pilots,1995,94,"grunge,alternative,90s","blue,song,stone temple pilots"
Red Song,Stone Temple Pilots,1993,97,"grunge,alternative,90s","red,song,stone temple pilots"
Golden Song,Stone Temple Pilots,1993,93,"grunge,alternative,90s","golden,song,stone temple pilots"
Silver Song,Stone Temple Pilots,1995,87,"grunge,alternative,90s","silver,song,stone temple pilots"
Dark Song,Stone Temple Pilots,1998,91,"grunge,alternative,90s","dark,song,stone temple pilots"
Bright Song,Stone Temple Pilots,1998,89,"grunge,alternative,90s","bright,song,stone temple pilots"
Sweet Song,Stone Temple Pilots,1993,84,"grunge,alternative,90s","sweet,song,stone temple pilots"
Wild Song,Stone Temple Pilots,1994,90,"grunge,alternative,90s","wild,song,stone temple pilots"
Free Song,Stone Temple Pilots,1992,80,"grunge,alternative,90s","free,song,stone temple pilots"
Lost Song,Stone Temple Pilots,1993,96,"grunge,alternative,90s","lost,song,stone temple pilots"
Found Song,Stone Temple Pilots,1996,97,"grunge,alternative,90s","found,song,stone temple pilots"
True Song,Stone Temple Pilots,1993,81,"grunge,alternative,90s","true,song,stone temple pilots"
Faded Song,Stone Temple Pilots,1998,82,"grunge,alternative,90s","faded,song,stone temple pilots"
Shining Song,Stone Temple Pilots,1993,88,"grunge,alternative,90s","shining,song,stone temple pilots"
Burning Song,Stone Temple Pilots,1992,80,"grunge,alternative,90s","burning,song,stone temple pilots"
Rising Song,Stone Temple Pilots,1992,92,"grunge,alternative,90s","rising,song,stone temple pilots"
Blue Track,Stone Temple Pilots,1997,84,"grunge,alternative,90s","blue,track,stone temple pilots"
Red Track,Stone Temple Pilots,1995,83,"grunge,alternative,90s","red,track,stone temple pilots"
Golden Track,Stone Temple Pilots,1993,90,"grunge,alternative,90s","golden,track,stone temple pilots"
Silver Track,Stone Temple Pilots,1995,81,"grunge,alternative,90s","silver,track,stone temple pilots"
Dark Track,Stone Temple Pilots,1991,89,"grunge,alternative,90s","dark,track,stone temple pilots"
Bright Track,Stone Temple Pilots,1993,86,"grunge,alternative,90s","bright,track,stone temple pilots"
Sweet Track,Stone Temple Pilots,1994,83,"grunge,alternative,90s","sweet,track,stone temple pilots"
Wild Track,Stone Temple Pilots,1998,91,"grunge,alternative,90s","wild,track,stone temple pilots"
Free Track,Stone Temple Pilots,1996,80,"grunge,alternative,90s","free,track,stone temple pilots"
Blue Song,Smashing Pumpkins,1998,97,"alternative,90s","blue,song,smashing pumpkins"
Red Song,Smashing Pumpkins,1996,86,"alternative,90s","red,song,smashing pumpkins"
Golden Song,Smashing Pumpkins,1998,85,"alternative,90s","golden,song,smashing pumpkins"
Silver Song,Smashing Pumpkins,1994,97,"alternative,90s","silver,song,smashing pumpkins"
Dark Song,Smashing Pumpkins,1993,81,"alternative,90s","dark,song,smashing pumpkins"
Bright Song,Smashing Pumpkins,1998,92,"alternative,90s","bright,song,smashing pumpkins"
Sweet Song,Smashing Pumpkins,1997,87,"alternative,90s","sweet,song,smashing pumpkins"
Wild Song,Smashing Pumpkins,1992,80,"alternative,90s","wild,song,smashing pumpkins"
Free Song,Smashing Pumpkins,1994,80,"alternative,90s","free,song,smashing pumpkins"
Lost Song,Smashing Pumpkins,1998,86,"alternative,90s","lost,song,smashing pumpkins"
Found Song,Smashing Pumpkins,1998,88,"alternative,90s","found,song,smashing pumpkins"
True Song,Smashing Pumpkins,1998,87,"alternative,90s","true,song,smashing pumpkins"
Faded Song,Smashing Pumpkins,1996,92,"alternative,90s","faded,song,smashing pumpkins"
Shining Song,Smashing Pumpkins,1998,90,"alternative,90s","shining,song,smashing pumpkins"
Burning Song,Smashing Pumpkins,1991,80,"alternative,90s","burning,song,smashing pumpkins"
Rising Song,Smashing Pumpkins,1999,85,"alternative,90s","rising,song,smashing pumpkins"
Blue Track,Smashing Pumpkins,1999,82,"alternative,90s","blue,track,smashing pumpkins"
Red Track,Smashing Pumpkins,1995,84,"alternative,90s","red,track,smashing pumpkins"
Golden Track,Smashing Pumpkins,1999,82,"alternative,90s","golden,track,smashing pumpkins"
Silver Track,Smashing Pumpkins,1991,96,"alternative,90s","silver,track,smashing pumpkins"
Creep,Radiohead,1995,77,"alternative,90s,emotional","creep,weirdo,don't belong here"
Karma Police,Radiohead,1993,84,"alternative,90s","karma police,arrest this man,phew minute there"
Paranoid Android,Radiohead,1996,79,"alternative,90s,progressive","paranoid android,kicking squealing,ambition makes you look pretty ugly"
Linger,The Cranberries,1992,79,"alternative,90s,irish","linger,wrapped around your finger,soul"
Zombie,The Cranberries,1998,78,"alternative,90s,irish,political","zombie,head,fighting,slowly"
Under the Bridge,Red Hot Chili Peppers,1992,80,"alternative,rock,90s","under bridge,downtown,city i live,lonely"
Californication,Red Hot Chili Peppers,1993,82,"alternative,rock,90s","californication,dream,destruction"
Scar Tissue,Red Hot Chili Peppers,1995,85,"alternative,rock,90s","scar tissue,birds,fly away"
Blue Song,Radiohead,1994,76,"alternative,90s,experimental","blue,song,radiohead"
Red Song,Radiohead,1992,83,"alternative,90s,experimental","red,song,radiohead"
Golden Song,Radiohead,1994,87,"alternative,90s,experimental","golden,song,radiohead"
Silver Song,Radiohead,1993,87,"alternative,90s,experimental","silver,song,radiohead"
Dark Song,Radiohead,1996,77,"alternative,90s,experimental","dark,song,radiohead"
Bright Song,Radiohead,1992,87,"alternative,90s,experimental","bright,song,radiohead"
Sweet Song,Radiohead,1993,79,"alternative,90s,experimental","sweet,song,radiohead"
Wild Song,Radiohead,1998,80,"alternative,90s,experimental","wild,song,radiohead"
Free Song,Radiohead,1993,92,"alternative,90s,experimental","free,song,radiohead"
Lost Song,Radiohead,1993,89,"alternative,90s,experimental","lost,song,radiohead"
Found Song,Radiohead,1993,75,"alternative,90s,experimental","found,song,radiohead"
True Song,Radiohead,1996,85,"alternative,90s,experimental","true,song,radiohead"
Faded Song,Radiohead,1998,92,"alternative,90s,experimental","faded,song,radiohead"
Shining Song,Radiohead,1993,88,"alternative,90s,experimental","shining,song,radiohead"
Burning Song,Radiohead,1992,79,"alternative,90s,experimental","burning,song,radiohead"
Rising Song,Radiohead,1997,89,"alternative,90s,experimental","rising,song,radiohead"
Blue Track,Radiohead,1993,77,"alternative,90s,experimental","blue,track,radiohead"
Red Track,Radiohead,1995,83,"alternative,90s,experimental","red,track,radiohead"
Golden Track,Radiohead,1996,81,"alternative,90s,experimental","golden,track,radiohead"
Silver Track,Radiohead,1996,79,"alternative,90s,experimental","silver,track,radiohead"
Dark Track,Radiohead,1998,94,"alternative,90s,experimental","dark,track,radiohead"
Bright Track,Radiohead,1999,92,"alternative,90s,experimental","bright,track,radiohead"
Sweet Track,Radiohead,1992,91,"alternative,90s,experimental","sweet,track,radiohead"
Wild Track,Radiohead,1998,77,"alternative,90s,experimental","wild,track,radiohead"
Free Track,Radiohead,1993,77,"alternative,90s,experimental","free,track,radiohead"
Lost Track,Radiohead,1994,75,"alternative,90s,experimental","lost,track,radiohead"
Found Track,Radiohead,1992,76,"alternative,90s,experimental","found,track,radiohead"
True Track,Radiohead,1996,82,"alternative,90s,experimental","true,track,radiohead"
Faded Track,Radiohead,1998,82,"alternative,90s,experimental","faded,track,radiohead"
Shining Track,Radiohead,1997,89,"alternative,90s,experimental","shining,track,radiohead"
Blue Song,Red Hot Chili Peppers,1992,91,"alternative,funk rock,90s","blue,song,red hot chili peppers"
Red Song,Red Hot Chili Peppers,1997,78,"alternative,funk rock,90s","red,song,red hot chili peppers"
Golden Song,Red Hot Chili Peppers,1995,92,"alternative,funk rock,90s","golden,song,red hot chili peppers"
Silver Song,Red Hot Chili Peppers,1998,78,"alternative,funk rock,90s","silver,song,red hot chili peppers"
Dark Song,Red Hot Chili Peppers,1999,83,"alternative,funk rock,90s","dark,song,red hot chili peppers"
Bright Song,Red Hot Chili Peppers,1999,94,"alternative,funk rock,90s","bright,song,red hot chili peppers"
Sweet Song,Red Hot Chili Peppers,1998,87,"alternative,funk rock,90s","sweet,song,red hot chili peppers"
Wild Song,Red Hot Chili Peppers,1994,85,"alternative,funk rock,90s","wild,song,red hot chili peppers"
Free Song,Red Hot Chili Peppers,1992,85,"alternative,funk rock,90s","free,song,red hot chili peppers"
Lost Song,Red Hot Chili Peppers,1995,82,"alternative,funk rock,90s","lost,song,red hot chili peppers"
Found Song,Red Hot Chili Peppers,1993,94,"alternative,funk rock,90s","found,song,red hot chili peppers"
True Song,Red Hot Chili Peppers,1994,83,"alternative,funk rock,90s","true,song,red hot chili peppers"
Faded Song,Red Hot Chili Peppers,1999,89,"alternative,funk rock,90s","faded,song,red hot chili peppers"
Shining Song,Red Hot Chili Peppers,1999,84,"alternative,funk rock,90s","shining,song,red hot chili peppers"
Burning Song,Red Hot Chili Peppers,1995,86,"alternative,funk rock,90s","burning,song,red hot chili peppers"
Rising Song,Red Hot Chili Peppers,1999,83,"alternative,funk rock,90s","rising,song,red hot chili peppers"
Blue Track,Red Hot Chili Peppers,1999,77,"alternative,funk rock,90s","blue,track,red hot chili peppers"
Red Track,Red Hot Chili Peppers,1999,82,"alternative,funk rock,90s","red,track,red hot chili peppers"
Golden Track,Red Hot Chili Peppers,1995,84,"alternative,funk rock,90s","golden,track,red hot chili peppers"
Silver Track,Red Hot Chili Peppers,1994,81,"alternative,funk rock,90s","silver,track,red hot chili peppers"
Dark Track,Red Hot Chili Peppers,1992,79,"alternative,funk rock,90s","dark,track,red hot chili peppers"
Bright Track,Red Hot Chili Peppers,1995,80,"alternative,funk rock,90s","bright,track,red hot chili peppers"
Sweet Track,Red Hot Chili Peppers,1994,76,"alternative,funk rock,90s","sweet,track,red hot chili peppers"
Wild Track,Red Hot Chili Peppers,1994,84,"alternative,funk rock,90s","wild,track,red hot chili peppers"
Free Track,Red Hot Chili Peppers,1993,89,"alternative,funk rock,90s","free,track,red hot chili peppers"
Lost Track,Red Hot Chili Peppers,1993,89,"alternative,funk rock,90s","lost,track,red hot chili peppers"
Found Track,Red Hot Chili Peppers,1996,77,"alternative,funk rock,90s","found,track,red hot chili peppers"
True Track,Red Hot Chili Peppers,1995,88,"alternative,funk rock,90s","true,track,red hot chili peppers"
Faded Track,Red Hot Chili Peppers,1998,89,"alternative,funk rock,90s","faded,track,red hot chili peppers"
Shining Track,Red Hot Chili Peppers,1994,80,"alternative,funk rock,90s","shining,track,red hot chili peppers"
Blue Song,Weezer,1993,93,"alternative,power pop,90s","blue,song,weezer"
Red Song,Weezer,1999,94,"alternative,power pop,90s","red,song,weezer"
Golden Song,Weezer,1999,92,"alternative,power pop,90s","golden,song,weezer"
Silver Song,Weezer,1999,81,"alternative,power pop,90s","silver,song,weezer"
Dark Song,Weezer,1992,92,"alternative,power pop,90s","dark,song,weezer"
Bright Song,Weezer,1997,82,"alternative,power pop,90s","bright,song,weezer"
Sweet Song,Weezer,1993,88,"alternative,power pop,90s","sweet,song,weezer"
Wild Song,Weezer,1995,81,"alternative,power pop,90s","wild,song,weezer"
Free Song,Weezer,1999,92,"alternative,power pop,90s","free,song,weezer"
Lost Song,Weezer,1992,82,"alternative,power pop,90s","lost,song,weezer"
Found Song,Weezer,1993,87,"alternative,power pop,90s","found,song,weezer"
True Song,Weezer,1992,86,"alternative,power pop,90s","true,song,weezer"
Faded Song,Weezer,1998,81,"alternative,power pop,90s","faded,song,weezer"
Shining Song,Weezer,1998,84,"alternative,power pop,90s","shining,song,weezer"
Burning Song,Weezer,1996,77,"alternative,power pop,90s","burning,song,weezer"
Rising Song,Weezer,1998,83,"alternative,power pop,90s","rising,song,weezer"
Blue Track,Weezer,1996,87,"alternative,power pop,90s","blue,track,weezer"
Red Track,Weezer,1998,93,"alternative,power pop,90s","red,track,weezer"
Golden Track,Weezer,1997,82,"alternative,power pop,90s","golden,track,weezer"
Silver Track,Weezer,1998,77,"alternative,power pop,90s","silver,track,weezer"
Dark Track,Weezer,1996,87,"alternative,power pop,90s","dark,track,weezer"
Bright Track,Weezer,1994,88,"alternative,power pop,90s","bright,track,weezer"
Sweet Track,Weezer,1995,77,"alternative,power pop,90s","sweet,track,weezer"
Wild Track,Weezer,1996,78,"alternative,power pop,90s","wild,track,weezer"
Free Track,Weezer,1993,76,"alternative,power pop,90s","free,track,weezer"
Blue Song,Foo Fighters,1995,91,"alternative,rock,90s","blue,song,foo fighters"
Red Song,Foo Fighters,1994,79,"alternative,rock,90s","red,song,foo fighters"
Golden Song,Foo Fighters,1997,85,"alternative,rock,90s","golden,song,foo fighters"
Silver Song,Foo Fighters,1994,84,"alternative,rock,90s","silver,song,foo fighters"
Dark Song,Foo Fighters,1994,87,"alternative,rock,90s","dark,song,foo fighters"
Bright Song,Foo Fighters,1998,82,"alternative,rock,90s","bright,song,foo fighters"
Sweet Song,Foo Fighters,1999,82,"alternative,rock,90s","sweet,song,foo fighters"
Wild Song,Foo Fighters,1993,81,"alternative,rock,90s","wild,song,foo fighters"
Free Song,Foo Fighters,1996,89,"alternative,rock,90s","free,song,foo fighters"
Lost Song,Foo Fighters,1999,80,"alternative,rock,90s","lost,song,foo fighters"
Found Song,Foo Fighters,1992,91,"alternative,rock,90s","found,song,foo fighters"
True Song,Foo Fighters,1999,79,"alternative,rock,90s","true,song,foo fighters"
Faded Song,Foo Fighters,1999,78,"alternative,rock,90s","faded,song,foo fighters"
Shining Song,Foo Fighters,1999,92,"alternative,rock,90s","shining,song,foo fighters"
Burning Song,Foo Fighters,1992,78,"alternative,rock,90s","burning,song,foo fighters"
Rising Song,Foo Fighters,1996,90,"alternative,rock,90s","rising,song,foo fighters"
Blue Track,Foo Fighters,1996,83,"alternative,rock,90s","blue,track,foo fighters"
Red Track,Foo Fighters,1998,90,"alternative,rock,90s","red,track,foo fighters"
Golden Track,Foo Fighters,1996,80,"alternative,rock,90s","golden,track,foo fighters"
Silver Track,Foo Fighters,1992,80,"alternative,rock,90s","silver,track,foo fighters"
Dark Track,Foo Fighters,1995,92,"alternative,rock,90s","dark,track,foo fighters"
Bright Track,Foo Fighters,1997,81,"alternative,rock,90s","bright,track,foo fighters"
Sweet Track,Foo Fighters,1993,78,"alternative,rock,90s","sweet,track,foo fighters"
Wild Track,Foo Fighters,1993,82,"alternative,rock,90s","wild,track,foo fighters"
Free Track,Foo Fighters,1992,94,"alternative,rock,90s","free,track,foo fighters"
Lost Track,Foo Fighters,1996,79,"alternative,rock,90s","lost,track,foo fighters"
Found Track,Foo Fighters,1994,80,"alternative,rock,90s","found,track,foo fighters"
True Track,Foo Fighters,1997,83,"alternative,rock,90s","true,track,foo fighters"
Faded Track,Foo Fighters,1996,92,"alternative,rock,90s","faded,track,foo fighters"
Shining Track,Foo Fighters,1999,92,"alternative,rock,90s","shining,track,foo fighters"
Blue Song,Beck,1999,83,"alternative,experimental,90s","blue,song,beck"
Red Song,Beck,1993,85,"alternative,experimental,90s","red,song,beck"
Golden Song,Beck,1994,80,"alternative,experimental,90s","golden,song,beck"
Silver Song,Beck,1993,89,"alternative,experimental,90s","silver,song,beck"
Dark Song,Beck,1999,77,"alternative,experimental,90s","dark,song,beck"
Bright Song,Beck,1995,87,"alternative,experimental,90s","bright,song,beck"
Sweet Song,Beck,1996,80,"alternative,experimental,90s","sweet,song,beck"
Wild Song,Beck,1998,91,"alternative,experimental,90s","wild,song,beck"
Free Song,Beck,1997,83,"alternative,experimental,90s","free,song,beck"
Lost Song,Beck,1999,92,"alternative,experimental,90s","lost,song,beck"
Found Song,Beck,1992,89,"alternative,experimental,90s","found,song,beck"
True Song,Beck,1992,93,"alternative,experimental,90s","true,song,beck"
Faded Song,Beck,1997,79,"alternative,experimental,90s","faded,song,beck"
Shining Song,Beck,1997,94,"alternative,experimental,90s","shining,song,beck"
Burning Song,Beck,1996,86,"alternative,experimental,90s","burning,song,beck"
Rising Song,Beck,1993,86,"alternative,experimental,90s","rising,song,beck"
Blue Track,Beck,1995,91,"alternative,experimental,90s","blue,track,beck"
Red Track,Beck,1993,85,"alternative,experimental,90s","red,track,beck"
Golden Track,Beck,1997,78,"alternative,experimental,90s","golden,track,beck"
Silver Track,Beck,1997,91,"alternative,experimental,90s","silver,track,beck"
Blue Song,Oasis,1997,79,"britpop,90s,rock","blue,song,oasis"
Red Song,Oasis,1993,89,"britpop,90s,rock","red,song,oasis"
Golden Song,Oasis,1992,87,"britpop,90s,rock","golden,song,oasis"
Silver Song,Oasis,1992,78,"britpop,90s,rock","silver,song,oasis"
Dark Song,Oasis,1992,93,"britpop,90s,rock","dark,song,oasis"
Bright Song,Oasis,1994,87,"britpop,90s,rock","bright,song,oasis"
Sweet Song,Oasis,1996,82,"britpop,90s,rock","sweet,song,oasis"
Wild Song,Oasis,1995,84,"britpop,90s,rock","wild,song,oasis"
Free Song,Oasis,1998,93,"britpop,90s,rock","free,song,oasis"
Lost Song,Oasis,1993,85,"britpop,90s,rock","lost,song,oasis"
Found Song,Oasis,1997,88,"britpop,90s,rock","found,song,oasis"
True Song,Oasis,1998,85,"britpop,90s,rock","true,song,oasis"
Faded Song,Oasis,1999,85,"britpop,90s,rock","faded,song,oasis"
Shining Song,Oasis,1994,82,"britpop,90s,rock","shining,song,oasis"
Burning Song,Oasis,1995,93,"britpop,90s,rock","burning,song,oasis"
Rising Song,Oasis,1996,93,"britpop,90s,rock","rising,song,oasis"
Blue Track,Oasis,1992,91,"britpop,90s,rock","blue,track,oasis"
Red Track,Oasis,1996,81,"britpop,90s,rock","red,track,oasis"
Golden Track,Oasis,1993,90,"britpop,90s,rock","golden,track,oasis"
Silver Track,Oasis,1998,92,"britpop,90s,rock","silver,track,oasis"
Dark Track,Oasis,1992,84,"britpop,90s,rock","dark,track,oasis"
Bright Track,Oasis,1995,88,"britpop,90s,rock","bright,track,oasis"
Sweet Track,Oasis,1996,75,"britpop,90s,rock","sweet,track,oasis"
Wild Track,Oasis,1999,83,"britpop,90s,rock","wild,track,oasis"
Free Track,Oasis,1995,94,"britpop,90s,rock","free,track,oasis"
Blue Song,Blur,1994,93,"britpop,90s,alternative","blue,song,blur"
Red Song,Blur,1992,76,"britpop,90s,alternative","red,song,blur"
Golden Song,Blur,1993,94,"britpop,90s,alternative","golden,song,blur"
Silver Song,Blur,1998,87,"britpop,90s,alternative","silver,song,blur"
Dark Song,Blur,1994,78,"britpop,90s,alternative","dark,song,blur"
Bright Song,Blur,1998,93,"britpop,90s,alternative","bright,song,blur"
Sweet Song,Blur,1997,75,"britpop,90s,alternative","sweet,song,blur"
