title,artist,year,popularity,tags,phrases
Brain Damage,Pink Floyd,1973,91,"progressive,rock,madness","lunatic,grass,madness"
Eclipse,Pink Floyd,1973,90,"progressive,rock,finale","eclipse,everything,universe"
Have a Cigar,Pink Floyd,1975,88,"progressive,rock,industry","cigar,music industry,satire"
Come Together,The Beatles,1969,94,"rock,psychedelic,groove","come together,right now,groove"
Here Comes the Sun,The Beatles,1969,95,"rock,folk,uplifting","sun,hope,optimistic"
Eleanor Rigby,The Beatles,1966,92,"pop,strings,story","lonely people,eleanor,loneliness"
All You Need Is Love,The Beatles,1967,93,"pop,psychedelic,love","love is all,anthem,peace"
Help!,The Beatles,1965,91,"rock,pop,plea","help,need somebody,desperate"
Ticket to Ride,The Beatles,1965,88,"rock,pop,melancholy","ticket to ride,leaving,sad"
Drive My Car,The Beatles,1965,86,"rock,pop,playful","drive my car,beep beep,fun"
Penny Lane,The Beatles,1967,90,"pop,psychedelic,nostalgic","penny lane,memories,nostalgic"
Paint It Black,The Rolling Stones,1966,94,"rock,psychedelic,dark","paint it black,dark,sitar"
Sympathy for the Devil,The Rolling Stones,1968,95,"rock,experimental,dark","sympathy,devil,pleased to meet you"
(I Can't Get No) Satisfaction,The Rolling Stones,1965,96,"rock,rebellion,classic","satisfaction,rebellion,riff"
Gimme Shelter,The Rolling Stones,1969,93,"rock,dark,powerful","shelter,war,apocalyptic"
Jumpin' Jack Flash,The Rolling Stones,1968,91,"rock,energetic,classic","jumping jack,gas,energy"
Angie,The Rolling Stones,1973,89,"rock,ballad,melancholy","angie,goodbye,sad"
Wild Horses,The Rolling Stones,1971,90,"rock,ballad,emotional","wild horses,drag me away,love"
Start Me Up,The Rolling Stones,1981,88,"rock,energetic,upbeat","start me up,never stop,energetic"
Miss You,The Rolling Stones,1978,86,"rock,disco,funky","miss you,disco,groove"
Brown Sugar,The Rolling Stones,1971,87,"rock,blues,controversial","brown sugar,blues,powerful"
Space Oddity,David Bowie,1969,94,"rock,space,psychedelic","major tom,space,oddity"
Life on Mars?,David Bowie,1971,93,"rock,theatrical,surreal","life on mars,surreal,theatrical"
Heroes,David Bowie,1977,95,"rock,new wave,inspirational","heroes,just for one day,inspirational"
Changes,David Bowie,1971,91,"rock,glam,transformation","changes,time,transformation"
Starman,David Bowie,1972,92,"glam rock,space,hope","starman,waiting,sky"
Rebel Rebel,David Bowie,1974,89,"glam rock,rebellion,energetic","rebel,hot tramp,glam"
Let's Dance,David Bowie,1983,90,"pop,dance,upbeat","let's dance,red shoes,upbeat"
Ashes to Ashes,David Bowie,1980,88,"new wave,electronic,theatrical","ashes,major tom,theatrical"
The Man Who Sold the World,David Bowie,1970,87,"rock,dark,mysterious","sold the world,mysterious,dark"
Ziggy Stardust,David Bowie,1972,91,"glam rock,theatrical,space","ziggy,spiders from mars,glam"
Dreams,Fleetwood Mac,1977,95,"soft rock,pop,smooth","dreams,thunder,rain,wash you clean"
Go Your Own Way,Fleetwood Mac,1977,93,"rock,breakup,energetic","go your own way,breakup,shackle"
The Chain,Fleetwood Mac,1977,92,"rock,powerful,dramatic","chain,damn your love,powerful"
Rhiannon,Fleetwood Mac,1975,91,"rock,mystical,ethereal","rhiannon,rings like bell,mystical"
Landslide,Fleetwood Mac,1975,94,"folk rock,emotional,introspective","landslide,getting older,reflection"
Don't Stop,Fleetwood Mac,1977,89,"pop rock,upbeat,optimistic","don't stop,thinking tomorrow,optimistic"
Everywhere,Fleetwood Mac,1987,88,"pop,upbeat,love","everywhere,want to be,love"
Little Lies,Fleetwood Mac,1987,87,"pop,synth,80s","little lies,tell me,sweet"
Gypsy,Fleetwood Mac,1982,86,"pop rock,nostalgic,dreamy","gypsy,lightning,dancer"
Sara,Fleetwood Mac,1979,85,"rock,emotional,mystical","sara,drowning,sea,mystical"
Take It Easy,Eagles,1972,91,"rock,country,laid back","take it easy,corner,winslow arizona"
Desperado,Eagles,1973,92,"country rock,ballad,emotional","desperado,fences,come to senses"
One of These Nights,Eagles,1975,88,"rock,smooth,romantic","one of these nights,searching,someone"
Lyin' Eyes,Eagles,1975,89,"country rock,story,cheating","lyin eyes,city,cheating"
New Kid in Town,Eagles,1976,87,"soft rock,melancholy,fame","new kid,town,johnny come lately"
Life in the Fast Lane,Eagles,1976,90,"rock,driving,lifestyle","fast lane,surely,lose mind"
Heartache Tonight,Eagles,1979,86,"rock,upbeat,heartbreak","heartache tonight,gonna be,party"
I Can't Tell You Why,Eagles,1979,85,"soft rock,ballad,love","can't tell you why,love,reason"
The Long Run,Eagles,1979,84,"rock,endurance,relationship","long run,who is gonna,win"
Already Gone,Eagles,1974,83,"rock,freedom,moving on","already gone,free,quit"
Rocket Man,Elton John,1972,95,"rock,space,melancholy","rocket man,mars,lonely"
Tiny Dancer,Elton John,1971,94,"rock,ballad,nostalgic","tiny dancer,blue jean baby,california"
Bennie and the Jets,Elton John,1973,92,"rock,glam,funky","bennie,jets,electric,funky"
Your Song,Elton John,1970,93,"pop,ballad,romantic","your song,wonderful,life"
Candle in the Wind,Elton John,1973,91,"ballad,tribute,emotional","candle,wind,marilyn monroe"
Goodbye Yellow Brick Road,Elton John,1973,92,"rock,theatrical,journey","yellow brick road,goodbye,wizard of oz"
Crocodile Rock,Elton John,1972,88,"rock,upbeat,nostalgic","crocodile rock,dancing,suzie"
I'm Still Standing,Elton John,1983,89,"pop,resilience,upbeat","still standing,better,stronger"
Don't Let the Sun Go Down on Me,Elton John,1974,90,"ballad,emotional,pleading","sun go down,losing,light"
Saturday Night's Alright for Fighting,Elton John,1973,87,"rock,energetic,party","saturday night,fighting,party"
Thunder Road,Bruce Springsteen,1975,94,"rock,epic,hopeful","thunder road,screen door,mary"
Dancing in the Dark,Bruce Springsteen,1984,92,"rock,pop,upbeat","dancing in dark,fire,spark"
Born in the U.S.A.,Bruce Springsteen,1984,93,"rock,anthem,patriotic","born in usa,vietnam,working class"
The River,Bruce Springsteen,1980,89,"rock,ballad,storytelling","river,valley,mary,dreams"
Atlantic City,Bruce Springsteen,1982,87,"folk rock,dark,desperate","atlantic city,debt,gambling"
Glory Days,Bruce Springsteen,1984,88,"rock,nostalgic,upbeat","glory days,past,nostalgia"
I'm on Fire,Bruce Springsteen,1985,86,"rock,sensual,minimal","on fire,desire,cool down"
Badlands,Bruce Springsteen,1978,90,"rock,defiant,powerful","badlands,believe,faith"
Hungry Heart,Bruce Springsteen,1980,85,"rock,pop,catchy","hungry heart,everybody,needs place"
Back in Black,AC/DC,1980,96,"hard rock,anthem,powerful","back in black,bell,tribute"
Highway to Hell,AC/DC,1979,95,"hard rock,anthem,rebellious","highway to hell,no stop,party"
Thunderstruck,AC/DC,1990,94,"hard rock,energetic,electric","thunderstruck,thunder,caught"
You Shook Me All Night Long,AC/DC,1980,93,"hard rock,party,upbeat","shook me,all night,american thighs"
T.N.T.,AC/DC,1975,91,"hard rock,explosive,energetic","tnt,dynamite,explosive"
Dirty Deeds Done Dirt Cheap,AC/DC,1976,90,"hard rock,dark,heavy","dirty deeds,cheap,revenge"
Hells Bells,AC/DC,1980,92,"hard rock,dark,powerful","hells bells,satan,calling"
Shoot to Thrill,AC/DC,1980,89,"hard rock,energetic,confident","shoot to thrill,play to kill,thrill"
For Those About to Rock,AC/DC,1981,88,"hard rock,anthem,salute","about to rock,salute,cannon"
Whole Lotta Rosie,AC/DC,1977,87,"hard rock,heavy,blues","rosie,whole lotta woman,heavyweight"
Heart-Shaped Box,Nirvana,1993,92,"grunge,alternative,dark","heart shaped box,umbilical,dark"
Lithium,Nirvana,1991,90,"grunge,alternative,emotional","lithium,happy,sad,yeah"
In Bloom,Nirvana,1991,89,"grunge,alternative,ironic","in bloom,guns,nature"
All Apologies,Nirvana,1993,91,"grunge,alternative,melancholy","all apologies,sun,guilt"
The Man Who Sold the World,Nirvana,1993,88,"grunge,cover,acoustic","sold the world,bowie,unplugged"
About a Girl,Nirvana,1989,87,"grunge,alternative,melodic","about a girl,need,easy"
Drain You,Nirvana,1991,85,"grunge,alternative,intense","drain you,chew,spit"
Breed,Nirvana,1991,84,"grunge,punk,aggressive","breed,don't care,attitude"
Aneurysm,Nirvana,1991,83,"grunge,alternative,raw","aneurysm,love you,beat it"
Even Flow,Pearl Jam,1991,91,"grunge,rock,homeless","even flow,thoughts,homeless"
Better Man,Pearl Jam,1994,90,"grunge,rock,melancholy","better man,wait,deserve"
Daughter,Pearl Jam,1993,89,"grunge,emotional,powerful","daughter,don't call,shaken"
Elderly Woman Behind the Counter,Pearl Jam,1993,88,"folk,rock,nostalgic","elderly woman,recognize,small town"
Given to Fly,Pearl Jam,1998,87,"rock,uplifting,soaring","given to fly,wave,lifted"
Corduroy,Pearl Jam,1994,85,"grunge,rock,rebellious","corduroy,everything,owned"
Do the Evolution,Pearl Jam,1998,86,"hard rock,aggressive,social","evolution,ahead,curve"
Paranoid Android,Radiohead,1997,94,"alternative,progressive,epic","paranoid android,kicking squealing,epic"
Karma Police,Radiohead,1997,93,"alternative,atmospheric,haunting","karma police,arrest this man,haunting"
No Surprises,Radiohead,1997,91,"alternative,melancholy,bells","no surprises,handshake,carbon monoxide"
Fake Plastic Trees,Radiohead,1995,92,"alternative,emotional,acoustic","fake plastic,wears out,crumbles"
Street Spirit,Radiohead,1995,90,"alternative,dark,atmospheric","fade out,immerse,soul,spirit"
High and Dry,Radiohead,1995,88,"alternative,rock,melodic","high and dry,killing time,broken"
Lucky,Radiohead,1997,87,"alternative,uplifting,atmospheric","lucky,pull me out,air"
Everything in Its Right Place,Radiohead,2000,89,"electronic,experimental,atmospheric","everything,right place,yesterday"
Idioteque,Radiohead,2000,86,"electronic,dance,apocalyptic","ice age,coming,who's in bunker"
Pyramid Song,Radiohead,2001,85,"alternative,atmospheric,surreal","jumped in river,black eyed angels"
505,Arctic Monkeys,2007,93,"indie rock,emotional,desert","505,crumbling,tease"
Do I Wanna Know?,Arctic Monkeys,2013,94,"indie rock,groovy,dark","do i wanna know,crawling,back"
R U Mine?,Arctic Monkeys,2012,92,"indie rock,energetic,riff","are you mine,thighs,riff"
I Bet You Look Good on the Dancefloor,Arctic Monkeys,2005,90,"indie rock,energetic,dance","dancefloor,bet,look good"
Why'd You Only Call Me When You're High,Arctic Monkeys,2013,91,"indie rock,psychedelic,catchy","call me,high,mirror"
Fluorescent Adolescent,Arctic Monkeys,2007,89,"indie rock,nostalgic,upbeat","fluorescent,best,settle,second"
Arabella,Arctic Monkeys,2013,88,"indie rock,groovy,seductive","arabella,leopard,wraparound"
Knee Socks,Arctic Monkeys,2013,87,"indie rock,emotional,atmospheric","knee socks,poetry,late afternoon"
When the Sun Goes Down,Arctic Monkeys,2006,86,"indie rock,storytelling,dark","scummy man,sun goes down,streets"
Crying Lightning,Arctic Monkeys,2009,85,"indie rock,quirky,energetic","crying lightning,secrets,magazine"
Last Nite,The Strokes,2001,92,"indie rock,garage,energetic","last night,said,things"
Someday,The Strokes,2001,91,"indie rock,upbeat,melodic","someday,argue,lot"
Reptilia,The Strokes,2003,90,"indie rock,energetic,riff","room on fire,please don't,slow"
Hard to Explain,The Strokes,2001,88,"indie rock,garage,raw","hard to explain,raised,cain"
12:51,The Strokes,2003,87,"indie rock,upbeat,catchy","twelve fifty one,heart,stop"
Juicebox,The Strokes,2005,85,"indie rock,aggressive,distorted","juicebox,problems,television"
You Only Live Once,The Strokes,2006,89,"indie rock,anthemic,existential","live once,strife,life"
The Modern Age,The Strokes,2001,86,"indie rock,raw,garage","modern age,nineteen,time"
Under Cover of Darkness,The Strokes,2011,84,"indie rock,upbeat,comeback","slip back,time,darkness"
Ize of the World,The Strokes,2006,83,"indie rock,epic,political","eyes of world,lies,taught"
When You Were Young,The Killers,2006,92,"rock,anthemic,nostalgic","when young,devil,waiting,turn"
Somebody Told Me,The Killers,2004,91,"rock,dance,energetic","somebody told me,boyfriend,girlfriend"
Human,The Killers,2008,90,"rock,synth,anthemic","are we human,dancer,sign"
Smile Like You Mean It,The Killers,2004,88,"rock,melancholy,nostalgic","smile mean it,someone,looking"
All These Things That I've Done,The Killers,2004,89,"rock,epic,gospel","got soul,need direction,help me"
Spaceman,The Killers,2008,87,"rock,space,theatrical","spaceman,stars,lifted"
Read My Mind,The Killers,2006,91,"rock,emotional,building","read my mind,stars,slipping"
Jenny Was a Friend of Mine,The Killers,2004,85,"rock,dark,storytelling","jenny,friend,alibi,murder"
Runaways,The Killers,2012,84,"rock,nostalgic,anthemic","runaways,blonde hair,daydream"
Bones,The Killers,2006,86,"rock,quirky,energetic","bones,come on,crawling"
Everlong,Foo Fighters,1997,95,"alternative,rock,passionate","everlong,breathe out,wait"
The Pretender,Foo Fighters,2007,93,"hard rock,aggressive,powerful","pretender,what if i say,defender"
Learn to Fly,Foo Fighters,1999,92,"rock,uplifting,melodic","learn to fly,looking,sky"
Best of You,Foo Fighters,2005,94,"rock,anthemic,emotional","best of you,someone,getting"
My Hero,Foo Fighters,1997,91,"rock,anthemic,tribute","my hero,ordinary man,kudos"
Times Like These,Foo Fighters,2002,90,"rock,reflective,hopeful","times like these,new revolution,brand"
Monkey Wrench,Foo Fighters,1997,89,"hard rock,aggressive,energetic","monkey wrench,fall,apart"
All My Life,Foo Fighters,2002,88,"hard rock,intense,passionate","all my life,done,waiting"
Walk,Foo Fighters,2011,87,"rock,groovy,confident","walk,learning,walk again"
Big Me,Foo Fighters,1995,85,"rock,soft,melodic","big me,talk,sweet"
Under the Bridge,Red Hot Chili Peppers,1991,96,"rock,emotional,introspective","under bridge,city,angels,lonely"
Californication,Red Hot Chili Peppers,1999,95,"rock,melodic,social commentary","californication,dream,destruction"
Scar Tissue,Red Hot Chili Peppers,1999,94,"rock,mellow,emotional","scar tissue,birds,fly away"
Otherside,Red Hot Chili Peppers,1999,93,"rock,dark,addiction","otherside,slipped away,addiction"
Can't Stop,Red Hot Chili Peppers,2002,92,"funk rock,energetic,groovy","can't stop,addicted,shindig"
By the Way,Red Hot Chili Peppers,2002,91,"rock,upbeat,melodic","by the way,love you,die"
Give It Away,Red Hot Chili Peppers,1991,93,"funk rock,energetic,philanthropic","give it away,now,give"
Snow (Hey Oh),Red Hot Chili Peppers,2006,92,"rock,melodic,uplifting","snow,deep beneath,cover"
Dani California,Red Hot Chili Peppers,2006,90,"rock,storytelling,energetic","dani california,mississippi,running"
Soul to Squeeze,Red Hot Chili Peppers,1993,89,"rock,emotional,introspective","soul to squeeze,things,seen"
Stronger,Kanye West,2007,95,"hip-hop,electronic,anthemic","stronger,work it,harder,faster"
Gold Digger,Kanye West,2005,94,"hip-hop,soul,storytelling","gold digger,ain't messing,broke"
Heartless,Kanye West,2008,93,"hip-hop,auto-tune,emotional","heartless,night,coldest"
Power,Kanye West,2010,94,"hip-hop,epic,powerful","power,no one man,system"
Runaway,Kanye West,2010,95,"hip-hop,emotional,epic","runaway,toast,douchebags"
Jesus Walks,Kanye West,2004,92,"hip-hop,gospel,spiritual","jesus walks,god,show me way"
Through the Wire,Kanye West,2003,90,"hip-hop,inspirational,personal","through wire,accident,jaw wired"
All of the Lights,Kanye West,2010,93,"hip-hop,pop,orchestral","lights,turn up,rihanna"
Flashing Lights,Kanye West,2007,91,"hip-hop,atmospheric,emotional","flashing lights,blinded,paparazzi"
Touch the Sky,Kanye West,2005,89,"hip-hop,uplifting,soulful","touch sky,feeling,fly"
Started from the Bottom,Drake,2013,92,"hip-hop,motivational,anthemic","started bottom,now we here,whole team"
"Hold On, We're Going Home",Drake,2013,91,"r&b,pop,smooth","hold on,going home,good girl"
Passionfruit,Drake,2017,90,"r&b,tropical,mellow","passionfruit,passionate,distance"
Take Care,Drake,2011,89,"r&b,emotional,rihanna","take care,know yourself,rihanna"
Marvin's Room,Drake,2011,88,"r&b,emotional,drunk dialing","marvin's room,drunk,call"
HUMBLE.,Kendrick Lamar,2017,96,"hip-hop,trap,confident","sit down,humble,biyombo"
DNA.,Kendrick Lamar,2017,94,"hip-hop,aggressive,identity","dna,loyalty,royalty"
Alright,Kendrick Lamar,2015,95,"hip-hop,hopeful,anthem","alright,we gonna be,hope"
Swimming Pools (Drank),Kendrick Lamar,2012,93,"hip-hop,dark,substance abuse","swimming pools,drank,alcohol"
m.A.A.d city,Kendrick Lamar,2012,92,"hip-hop,storytelling,intense","mad city,yawk yawk,compton"
King Kunta,Kendrick Lamar,2015,91,"hip-hop,funky,confident","king kunta,black man,roots"
Money Trees,Kendrick Lamar,2012,90,"hip-hop,smooth,storytelling","money trees,perfect place,shade"
"Bitch, Don't Kill My Vibe",Kendrick Lamar,2012,91,"hip-hop,smooth,spiritual","kill my vibe,sanctified,mind"
LOYALTY.,Kendrick Lamar feat. Rihanna,2017,89,"hip-hop,r&b,collaboration","loyalty,royalty,rihanna"
The Blacker the Berry,Kendrick Lamar,2015,88,"hip-hop,political,aggressive","blacker berry,sweeter juice,black"
Starboy,The Weeknd feat. Daft Punk,2016,94,"r&b,electronic,dark","starboy,look what,done"
Can't Feel My Face,The Weeknd,2015,95,"pop,r&b,upbeat","can't feel face,love,addicted"
The Hills,The Weeknd,2015,96,"r&b,dark,atmospheric","hills,secrets,hide"
Save Your Tears,The Weeknd,2020,93,"pop,synth,emotional","save tears,another day,rain"
Earned It,The Weeknd,2015,91,"r&b,sensual,orchestral","earned it,fifty shades,perfect"
I Feel It Coming,The Weeknd feat. Daft Punk,2016,92,"pop,electronic,smooth","feel it coming,fear love,daft punk"
Often,The Weeknd,2014,89,"r&b,explicit,atmospheric","often,work,body"
Wicked Games,The Weeknd,2011,90,"r&b,dark,emotional","wicked games,world,cold,empty"
Die For You,The Weeknd,2016,88,"r&b,emotional,passionate","die for you,distance,time"
After Hours,The Weeknd,2020,87,"r&b,dark,epic","after hours,heartless,alone"
"Harder, Better, Faster, Stronger",Daft Punk,2001,94,"electronic,house,robotic","harder,better,faster,stronger"
Instant Crush,Daft Punk feat. Julian Casablancas,2013,90,"electronic,indie,emotional","instant crush,fall apart,strokes"
Lose Yourself to Dance,Daft Punk feat. Pharrell,2013,89,"electronic,disco,dance","lose yourself,dance,pharrell"
Da Funk,Daft Punk,1995,87,"electronic,house,raw","da funk,raw,underground"
Aerodynamic,Daft Punk,2001,86,"electronic,rock,epic","aerodynamic,guitar,epic"
Summer,Calvin Harris,2014,93,"edm,pop,upbeat","summer,when i met you,sun"
Feel So Close,Calvin Harris,2011,92,"edm,euphoric,uplifting","feel so close,you,euphoric"
This Is What You Came For,Calvin Harris feat. Rihanna,2016,94,"edm,pop,dance","came for,lightning,strikes,rihanna"
We Found Love,Calvin Harris feat. Rihanna,2011,96,"edm,anthem,emotional","found love,hopeless place,rihanna"
Sweet Nothing,Calvin Harris feat. Florence Welch,2012,91,"edm,emotional,uplifting","sweet nothing,patience,florence"
I Need Your Love,Calvin Harris feat. Ellie Goulding,2012,90,"edm,pop,catchy","need your love,reflection,ellie"
Outside,Calvin Harris feat. Ellie Goulding,2014,89,"edm,emotional,uplifting","outside,look at,we could be,stars"
Bounce,Calvin Harris feat. Kelis,2011,87,"edm,bounce,energetic","bounce,stand up,kelis"
Blame,Calvin Harris feat. John Newman,2014,88,"edm,deep house,emotional","can't blame,love,john newman"
How Deep Is Your Love,Calvin Harris & Disciples,2015,90,"edm,deep house,atmospheric","how deep,love,pull me,deeper"
Back to Black,Amy Winehouse,2006,95,"soul,r&b,retro","back to black,died,hundred times"
Valerie,Amy Winehouse,2007,93,"soul,pop,upbeat","valerie,ginger hair,zurton"
You Know I'm No Good,Amy Winehouse,2006,91,"soul,r&b,confessional","no good,sweet,upstairs,cheating"
Tears Dry on Their Own,Amy Winehouse,2006,90,"soul,motown,heartbreak","tears dry,own,walked,away"
Love Is a Losing Game,Amy Winehouse,2006,92,"soul,ballad,heartbreak","love,losing game,self professed"
Stronger Than Me,Amy Winehouse,2003,86,"jazz,soul,attitude","stronger than me,wimpy,man"
Wake Up Alone,Amy Winehouse,2006,88,"soul,emotional,intimate","wake up alone,rather,him"
Our Day Will Come,Amy Winehouse,2011,85,"soul,jazz,romantic","day will come,tender,dreams"
Will You Still Love Me Tomorrow,Amy Winehouse,2011,84,"soul,ballad,vulnerable","love me tomorrow,tonight,forever"
Just Friends,Amy Winehouse,2003,83,"jazz,soul,playful","just friends,lovers,not,supposed"
Feel Good Inc.,Gorillaz,2005,96,"alternative,hip-hop,electronic","feel good,windmill,laughing"
Clint Eastwood,Gorillaz,2001,94,"alternative,hip-hop,trip-hop","sunshine,bag,useless,del"
On Melancholy Hill,Gorillaz,2010,93,"alternative,electronic,dreamy","melancholy hill,plastic,tree"
Rhinestone Eyes,Gorillaz,2010,90,"alternative,electronic,dark","rhinestone eyes,nature,distant"
Stylo,Gorillaz feat. Mos Def,2010,89,"electronic,funk,groovy","stylo,overload,bobby womack"
Dare,Gorillaz,2005,91,"electronic,dance,minimal","dare,coming up,it's there"
Dirty Harry,Gorillaz,2005,88,"alternative,hip-hop,atmospheric","dirty harry,coming up,children"
Empire Ants,Gorillaz,2010,87,"electronic,dreamy,atmospheric","empire ants,little memories,yukimi"
Saturnz Barz,Gorillaz,2017,86,"electronic,grime,dark","saturnz barz,all my life,popcaan"
Andromeda,Gorillaz,2017,85,"electronic,pop,atmospheric","andromeda,outside,cold,stars"
